Country	VType	Date	Total
Resto de Europa	Tasa de variación anual	2015-11	11,20
Resto de Europa	Tasa de variación anual	2015-10	5,22
Resto de Europa	Acumulado en lo que va de año	2020-09	1.460.964
Resto de Europa	Acumulado en lo que va de año	2020-08	1.329.272
Resto de Europa	Acumulado en lo que va de año	2020-07	1.095.229
Resto de Europa	Acumulado en lo que va de año	2020-06	917.333
Resto de Europa	Acumulado en lo que va de año	2020-05	896.003
Resto de Europa	Acumulado en lo que va de año	2020-04	896.003
Resto de Europa	Acumulado en lo que va de año	2020-03	896.003
Resto de Europa	Acumulado en lo que va de año	2020-02	732.499
Resto de Europa	Acumulado en lo que va de año	2020-01	363.739
Resto de Europa	Acumulado en lo que va de año	2019-12	6.441.423
Resto de Europa	Acumulado en lo que va de año	2019-11	6.095.017
Resto de Europa	Acumulado en lo que va de año	2019-10	5.711.417
Resto de Europa	Acumulado en lo que va de año	2019-09	5.113.405
Resto de Europa	Acumulado en lo que va de año	2019-08	4.431.584
Resto de Europa	Acumulado en lo que va de año	2019-07	3.745.042
Resto de Europa	Acumulado en lo que va de año	2019-06	3.032.508
Resto de Europa	Acumulado en lo que va de año	2019-05	2.338.069
Resto de Europa	Acumulado en lo que va de año	2019-04	1.722.039
Resto de Europa	Acumulado en lo que va de año	2019-03	1.195.979
Resto de Europa	Acumulado en lo que va de año	2019-02	763.499
Resto de Europa	Acumulado en lo que va de año	2019-01	369.273
Resto de Europa	Acumulado en lo que va de año	2018-12	6.003.629
Resto de Europa	Acumulado en lo que va de año	2018-11	5.661.309
Resto de Europa	Acumulado en lo que va de año	2018-10	5.294.918
Resto de Europa	Acumulado en lo que va de año	2018-09	4.747.917
Resto de Europa	Acumulado en lo que va de año	2018-08	4.058.032
Resto de Europa	Acumulado en lo que va de año	2018-07	3.416.520
Resto de Europa	Acumulado en lo que va de año	2018-06	2.685.243
Resto de Europa	Acumulado en lo que va de año	2018-05	2.027.775
Resto de Europa	Acumulado en lo que va de año	2018-04	1.476.374
Resto de Europa	Acumulado en lo que va de año	2018-03	1.032.407
Resto de Europa	Acumulado en lo que va de año	2018-02	662.597
Resto de Europa	Acumulado en lo que va de año	2018-01	333.146
Resto de Europa	Acumulado en lo que va de año	2017-12	5.543.011
Resto de Europa	Acumulado en lo que va de año	2017-11	5.288.005
Resto de Europa	Acumulado en lo que va de año	2017-10	4.955.480
Resto de Europa	Acumulado en lo que va de año	2017-09	4.480.461
Resto de Europa	Acumulado en lo que va de año	2017-08	3.820.914
Resto de Europa	Acumulado en lo que va de año	2017-07	3.171.588
Resto de Europa	Acumulado en lo que va de año	2017-06	2.447.271
Resto de Europa	Acumulado en lo que va de año	2017-05	1.892.700
Resto de Europa	Acumulado en lo que va de año	2017-04	1.397.066
Resto de Europa	Acumulado en lo que va de año	2017-03	964.157
Resto de Europa	Acumulado en lo que va de año	2017-02	588.705
Resto de Europa	Acumulado en lo que va de año	2017-01	287.987
Resto de Europa	Acumulado en lo que va de año	2016-12	5.026.962
Resto de Europa	Acumulado en lo que va de año	2016-11	4.743.588
Resto de Europa	Acumulado en lo que va de año	2016-10	4.412.035
Resto de Europa	Acumulado en lo que va de año	2016-09	3.938.959
Resto de Europa	Acumulado en lo que va de año	2016-08	3.344.706
Resto de Europa	Acumulado en lo que va de año	2016-07	2.773.570
Resto de Europa	Acumulado en lo que va de año	2016-06	2.170.839
Resto de Europa	Acumulado en lo que va de año	2016-05	1.655.223
Resto de Europa	Acumulado en lo que va de año	2016-04	1.222.107
Resto de Europa	Acumulado en lo que va de año	2016-03	847.833
Resto de Europa	Acumulado en lo que va de año	2016-02	504.878
Resto de Europa	Acumulado en lo que va de año	2016-01	259.633
Resto de Europa	Acumulado en lo que va de año	2015-12	""
Resto de Europa	Acumulado en lo que va de año	2015-11	""
Resto de Europa	Acumulado en lo que va de año	2015-10	""
Resto de Europa	Tasa de variación acumulada	2020-09	-71,43
Resto de Europa	Tasa de variación acumulada	2020-08	-70,00
Resto de Europa	Tasa de variación acumulada	2020-07	-70,76
Resto de Europa	Tasa de variación acumulada	2020-06	-69,75
Resto de Europa	Tasa de variación acumulada	2020-05	-61,68
Resto de Europa	Tasa de variación acumulada	2020-04	-47,97
Resto de Europa	Tasa de variación acumulada	2020-03	-25,08
Resto de Europa	Tasa de variación acumulada	2020-02	-4,06
Resto de Europa	Tasa de variación acumulada	2020-01	-1,50
Resto de Europa	Tasa de variación acumulada	2019-12	7,29
Resto de Europa	Tasa de variación acumulada	2019-11	7,66
Resto de Europa	Tasa de variación acumulada	2019-10	7,87
Resto de Europa	Tasa de variación acumulada	2019-09	7,70
Resto de Europa	Tasa de variación acumulada	2019-08	9,21
Resto de Europa	Tasa de variación acumulada	2019-07	9,62
Resto de Europa	Tasa de variación acumulada	2019-06	12,93
Resto de Europa	Tasa de variación acumulada	2019-05	15,30
Resto de Europa	Tasa de variación acumulada	2019-04	16,64
Resto de Europa	Tasa de variación acumulada	2019-03	15,84
Resto de Europa	Tasa de variación acumulada	2019-02	15,23
Resto de Europa	Tasa de variación acumulada	2019-01	10,84
Resto de Europa	Tasa de variación acumulada	2018-12	8,31
Resto de Europa	Tasa de variación acumulada	2018-11	7,06
Resto de Europa	Tasa de variación acumulada	2018-10	6,85
Resto de Europa	Tasa de variación acumulada	2018-09	5,97
Resto de Europa	Tasa de variación acumulada	2018-08	6,21
Resto de Europa	Tasa de variación acumulada	2018-07	7,72
Resto de Europa	Tasa de variación acumulada	2018-06	9,72
Resto de Europa	Tasa de variación acumulada	2018-05	7,14
Resto de Europa	Tasa de variación acumulada	2018-04	5,68
Resto de Europa	Tasa de variación acumulada	2018-03	7,08
Resto de Europa	Tasa de variación acumulada	2018-02	12,55
Resto de Europa	Tasa de variación acumulada	2018-01	15,68
Resto de Europa	Tasa de variación acumulada	2017-12	10,27
Resto de Europa	Tasa de variación acumulada	2017-11	11,48
Resto de Europa	Tasa de variación acumulada	2017-10	12,32
Resto de Europa	Tasa de variación acumulada	2017-09	13,75
Resto de Europa	Tasa de variación acumulada	2017-08	14,24
Resto de Europa	Tasa de variación acumulada	2017-07	14,35
Resto de Europa	Tasa de variación acumulada	2017-06	12,73
Resto de Europa	Tasa de variación acumulada	2017-05	14,35
Resto de Europa	Tasa de variación acumulada	2017-04	14,32
Resto de Europa	Tasa de variación acumulada	2017-03	13,72
Resto de Europa	Tasa de variación acumulada	2017-02	16,60
Resto de Europa	Tasa de variación acumulada	2017-01	10,92
Resto de Europa	Tasa de variación acumulada	2016-12	17,39
Resto de Europa	Tasa de variación acumulada	2016-11	17,03
Resto de Europa	Tasa de variación acumulada	2016-10	16,73
Resto de Europa	Tasa de variación acumulada	2016-09	15,48
Resto de Europa	Tasa de variación acumulada	2016-08	15,62
Resto de Europa	Tasa de variación acumulada	2016-07	15,70
Resto de Europa	Tasa de variación acumulada	2016-06	15,88
Resto de Europa	Tasa de variación acumulada	2016-05	17,40
Resto de Europa	Tasa de variación acumulada	2016-04	16,98
Resto de Europa	Tasa de variación acumulada	2016-03	19,84
Resto de Europa	Tasa de variación acumulada	2016-02	17,64
Resto de Europa	Tasa de variación acumulada	2016-01	21,61
Resto de Europa	Tasa de variación acumulada	2015-12	""
Resto de Europa	Tasa de variación acumulada	2015-11	""
Resto de Europa	Tasa de variación acumulada	2015-10	""
Estados Unidos de América	Dato base	2020-09	9.709
Estados Unidos de América	Dato base	2020-08	12.498
Estados Unidos de América	Dato base	2020-07	14.943
Estados Unidos de América	Dato base	2020-06	.
Estados Unidos de América	Dato base	2020-05	0
Estados Unidos de América	Dato base	2020-04	0
Estados Unidos de América	Dato base	2020-03	81.672
Estados Unidos de América	Dato base	2020-02	123.694
Estados Unidos de América	Dato base	2020-01	142.279
Estados Unidos de América	Dato base	2019-12	174.682
Estados Unidos de América	Dato base	2019-11	217.435
Estados Unidos de América	Dato base	2019-10	304.838
Estados Unidos de América	Dato base	2019-09	363.472
Estados Unidos de América	Dato base	2019-08	274.194
Estados Unidos de América	Dato base	2019-07	424.512
Estados Unidos de América	Dato base	2019-06	434.190
Estados Unidos de América	Dato base	2019-05	344.081
Estados Unidos de América	Dato base	2019-04	258.668
Estados Unidos de América	Dato base	2019-03	245.642
Estados Unidos de América	Dato base	2019-02	134.549
Estados Unidos de América	Dato base	2019-01	148.607
Estados Unidos de América	Dato base	2018-12	165.259
Estados Unidos de América	Dato base	2018-11	186.385
Estados Unidos de América	Dato base	2018-10	303.563
Estados Unidos de América	Dato base	2018-09	309.146
Estados Unidos de América	Dato base	2018-08	252.804
Estados Unidos de América	Dato base	2018-07	358.464
Estados Unidos de América	Dato base	2018-06	397.104
Estados Unidos de América	Dato base	2018-05	318.279
Estados Unidos de América	Dato base	2018-04	231.626
Estados Unidos de América	Dato base	2018-03	206.825
Estados Unidos de América	Dato base	2018-02	111.260
Estados Unidos de América	Dato base	2018-01	118.772
Estados Unidos de América	Dato base	2017-12	128.530
Estados Unidos de América	Dato base	2017-11	154.266
Estados Unidos de América	Dato base	2017-10	244.060
Estados Unidos de América	Dato base	2017-09	321.304
Estados Unidos de América	Dato base	2017-08	232.819
Estados Unidos de América	Dato base	2017-07	316.982
Estados Unidos de América	Dato base	2017-06	349.657
Estados Unidos de América	Dato base	2017-05	282.968
Estados Unidos de América	Dato base	2017-04	216.435
Estados Unidos de América	Dato base	2017-03	192.300
Estados Unidos de América	Dato base	2017-02	99.612
Estados Unidos de América	Dato base	2017-01	98.550
Estados Unidos de América	Dato base	2016-12	116.122
Estados Unidos de América	Dato base	2016-11	119.530
Estados Unidos de América	Dato base	2016-10	185.856
Estados Unidos de América	Dato base	2016-09	228.566
Estados Unidos de América	Dato base	2016-08	186.638
Estados Unidos de América	Dato base	2016-07	275.329
Estados Unidos de América	Dato base	2016-06	273.590
Estados Unidos de América	Dato base	2016-05	195.801
Estados Unidos de América	Dato base	2016-04	136.351
Estados Unidos de América	Dato base	2016-03	132.024
Estados Unidos de América	Dato base	2016-02	78.965
Estados Unidos de América	Dato base	2016-01	73.040
Estados Unidos de América	Dato base	2015-12	92.352
Estados Unidos de América	Dato base	2015-11	105.205
Estados Unidos de América	Dato base	2015-10	189.891
Estados Unidos de América	Tasa de variación anual	2020-09	-97,33
Estados Unidos de América	Tasa de variación anual	2020-08	-95,44
Estados Unidos de América	Tasa de variación anual	2020-07	-96,48
Estados Unidos de América	Tasa de variación anual	2020-06	.
Estados Unidos de América	Tasa de variación anual	2020-05	-100,00
Estados Unidos de América	Tasa de variación anual	2020-04	-100,00
Estados Unidos de América	Tasa de variación anual	2020-03	-66,75
Estados Unidos de América	Tasa de variación anual	2020-02	-8,07
Estados Unidos de América	Tasa de variación anual	2020-01	-4,26
Estados Unidos de América	Tasa de variación anual	2019-12	5,70
Estados Unidos de América	Tasa de variación anual	2019-11	16,66
Estados Unidos de América	Tasa de variación anual	2019-10	0,42
Estados Unidos de América	Tasa de variación anual	2019-09	17,57
Estados Unidos de América	Tasa de variación anual	2019-08	8,46
Estados Unidos de América	Tasa de variación anual	2019-07	18,43
Estados Unidos de América	Tasa de variación anual	2019-06	9,34
Estados Unidos de América	Tasa de variación anual	2019-05	8,11
Estados Unidos de América	Tasa de variación anual	2019-04	11,67
Estados Unidos de América	Tasa de variación anual	2019-03	18,77
Estados Unidos de América	Tasa de variación anual	2019-02	20,93
Estados Unidos de América	Tasa de variación anual	2019-01	25,12
Estados Unidos de América	Tasa de variación anual	2018-12	28,58
Estados Unidos de América	Tasa de variación anual	2018-11	20,82
Estados Unidos de América	Tasa de variación anual	2018-10	24,38
Estados Unidos de América	Tasa de variación anual	2018-09	-3,78
Estados Unidos de América	Tasa de variación anual	2018-08	8,58
Estados Unidos de América	Tasa de variación anual	2018-07	13,09
Estados Unidos de América	Tasa de variación anual	2018-06	13,57
Estados Unidos de América	Tasa de variación anual	2018-05	12,48
Estados Unidos de América	Tasa de variación anual	2018-04	7,02
Estados Unidos de América	Tasa de variación anual	2018-03	7,55
Estados Unidos de América	Tasa de variación anual	2018-02	11,69
Estados Unidos de América	Tasa de variación anual	2018-01	20,52
Estados Unidos de América	Tasa de variación anual	2017-12	10,68
Estados Unidos de América	Tasa de variación anual	2017-11	29,06
Estados Unidos de América	Tasa de variación anual	2017-10	31,32
Estados Unidos de América	Tasa de variación anual	2017-09	40,57
Estados Unidos de América	Tasa de variación anual	2017-08	24,74
Estados Unidos de América	Tasa de variación anual	2017-07	15,13
Estados Unidos de América	Tasa de variación anual	2017-06	27,80
Estados Unidos de América	Tasa de variación anual	2017-05	44,52
Estados Unidos de América	Tasa de variación anual	2017-04	58,73
Estados Unidos de América	Tasa de variación anual	2017-03	45,66
Estados Unidos de América	Tasa de variación anual	2017-02	26,15
Estados Unidos de América	Tasa de variación anual	2017-01	34,93
Estados Unidos de América	Tasa de variación anual	2016-12	25,74
Estados Unidos de América	Tasa de variación anual	2016-11	13,62
Estados Unidos de América	Tasa de variación anual	2016-10	-2,12
Estados Unidos de América	Tasa de variación anual	2016-09	9,58
Estados Unidos de América	Tasa de variación anual	2016-08	6,85
Estados Unidos de América	Tasa de variación anual	2016-07	4,56
Estados Unidos de América	Tasa de variación anual	2016-06	8,29
Estados Unidos de América	Tasa de variación anual	2016-05	11,32
Estados Unidos de América	Tasa de variación anual	2016-04	-0,76
Estados Unidos de América	Tasa de variación anual	2016-03	21,69
Estados Unidos de América	Tasa de variación anual	2016-02	15,44
Estados Unidos de América	Tasa de variación anual	2016-01	-7,84
Estados Unidos de América	Tasa de variación anual	2015-12	14,07
Estados Unidos de América	Tasa de variación anual	2015-11	36,36
Estados Unidos de América	Tasa de variación anual	2015-10	24,48
Estados Unidos de América	Acumulado en lo que va de año	2020-09	387.197
Estados Unidos de América	Acumulado en lo que va de año	2020-08	377.487
Estados Unidos de América	Acumulado en lo que va de año	2020-07	364.990
Estados Unidos de América	Acumulado en lo que va de año	2020-06	.
Estados Unidos de América	Acumulado en lo que va de año	2020-05	347.645
Estados Unidos de América	Acumulado en lo que va de año	2020-04	347.645
Estados Unidos de América	Acumulado en lo que va de año	2020-03	347.645
Estados Unidos de América	Acumulado en lo que va de año	2020-02	265.974
Estados Unidos de América	Acumulado en lo que va de año	2020-01	142.279
Estados Unidos de América	Acumulado en lo que va de año	2019-12	3.324.870
Estados Unidos de América	Acumulado en lo que va de año	2019-11	3.150.187
Estados Unidos de América	Acumulado en lo que va de año	2019-10	2.932.752
Estados Unidos de América	Acumulado en lo que va de año	2019-09	2.627.914
Estados Unidos de América	Acumulado en lo que va de año	2019-08	2.264.442
Estados Unidos de América	Acumulado en lo que va de año	2019-07	1.990.248
Estados Unidos de América	Acumulado en lo que va de año	2019-06	1.565.736
Estados Unidos de América	Acumulado en lo que va de año	2019-05	1.131.546
Estados Unidos de América	Acumulado en lo que va de año	2019-04	787.466
Estados Unidos de América	Acumulado en lo que va de año	2019-03	528.798
Estados Unidos de América	Acumulado en lo que va de año	2019-02	283.156
Estados Unidos de América	Acumulado en lo que va de año	2019-01	148.607
Estados Unidos de América	Acumulado en lo que va de año	2018-12	2.959.487
Estados Unidos de América	Acumulado en lo que va de año	2018-11	2.794.228
Estados Unidos de América	Acumulado en lo que va de año	2018-10	2.607.843
Estados Unidos de América	Acumulado en lo que va de año	2018-09	2.304.280
Estados Unidos de América	Acumulado en lo que va de año	2018-08	1.995.134
Estados Unidos de América	Acumulado en lo que va de año	2018-07	1.742.330
Estados Unidos de América	Acumulado en lo que va de año	2018-06	1.383.866
Estados Unidos de América	Acumulado en lo que va de año	2018-05	986.762
Estados Unidos de América	Acumulado en lo que va de año	2018-04	668.483
Estados Unidos de América	Acumulado en lo que va de año	2018-03	436.857
Estados Unidos de América	Acumulado en lo que va de año	2018-02	230.032
Estados Unidos de América	Acumulado en lo que va de año	2018-01	118.772
Estados Unidos de América	Acumulado en lo que va de año	2017-12	2.637.484
Estados Unidos de América	Acumulado en lo que va de año	2017-11	2.508.954
Estados Unidos de América	Acumulado en lo que va de año	2017-10	2.354.688
Estados Unidos de América	Acumulado en lo que va de año	2017-09	2.110.628
Estados Unidos de América	Acumulado en lo que va de año	2017-08	1.789.324
Estados Unidos de América	Acumulado en lo que va de año	2017-07	1.556.504
Estados Unidos de América	Acumulado en lo que va de año	2017-06	1.239.522
Estados Unidos de América	Acumulado en lo que va de año	2017-05	889.865
Estados Unidos de América	Acumulado en lo que va de año	2017-04	606.897
Estados Unidos de América	Acumulado en lo que va de año	2017-03	390.462
Estados Unidos de América	Acumulado en lo que va de año	2017-02	198.162
Estados Unidos de América	Acumulado en lo que va de año	2017-01	98.550
Estados Unidos de América	Acumulado en lo que va de año	2016-12	2.001.813
Estados Unidos de América	Acumulado en lo que va de año	2016-11	1.885.690
Estados Unidos de América	Acumulado en lo que va de año	2016-10	1.766.161
Estados Unidos de América	Acumulado en lo que va de año	2016-09	1.580.304
Estados Unidos de América	Acumulado en lo que va de año	2016-08	1.351.738
Estados Unidos de América	Acumulado en lo que va de año	2016-07	1.165.100
Estados Unidos de América	Acumulado en lo que va de año	2016-06	889.771
Estados Unidos de América	Acumulado en lo que va de año	2016-05	616.180
Estados Unidos de América	Acumulado en lo que va de año	2016-04	420.379
Estados Unidos de América	Acumulado en lo que va de año	2016-03	284.028
Estados Unidos de América	Acumulado en lo que va de año	2016-02	152.005
Estados Unidos de América	Acumulado en lo que va de año	2016-01	73.040
Estados Unidos de América	Acumulado en lo que va de año	2015-12	""
Estados Unidos de América	Acumulado en lo que va de año	2015-11	""
Estados Unidos de América	Acumulado en lo que va de año	2015-10	""
Estados Unidos de América	Tasa de variación acumulada	2020-09	-85,27
Estados Unidos de América	Tasa de variación acumulada	2020-08	-83,33
Estados Unidos de América	Tasa de variación acumulada	2020-07	-81,66
Estados Unidos de América	Tasa de variación acumulada	2020-06	.
Estados Unidos de América	Tasa de variación acumulada	2020-05	-69,28
Estados Unidos de América	Tasa de variación acumulada	2020-04	-55,85
Estados Unidos de América	Tasa de variación acumulada	2020-03	-34,26
Estados Unidos de América	Tasa de variación acumulada	2020-02	-6,07
Estados Unidos de América	Tasa de variación acumulada	2020-01	-4,26
Estados Unidos de América	Tasa de variación acumulada	2019-12	12,35
Estados Unidos de América	Tasa de variación acumulada	2019-11	12,74
Estados Unidos de América	Tasa de variación acumulada	2019-10	12,46
Estados Unidos de América	Tasa de variación acumulada	2019-09	14,04
Estados Unidos de América	Tasa de variación acumulada	2019-08	13,50
Estados Unidos de América	Tasa de variación acumulada	2019-07	14,23
Estados Unidos de América	Tasa de variación acumulada	2019-06	13,14
Estados Unidos de América	Tasa de variación acumulada	2019-05	14,67
Estados Unidos de América	Tasa de variación acumulada	2019-04	17,80
Estados Unidos de América	Tasa de variación acumulada	2019-03	21,05
Estados Unidos de América	Tasa de variación acumulada	2019-02	23,09
Estados Unidos de América	Tasa de variación acumulada	2019-01	25,12
Estados Unidos de América	Tasa de variación acumulada	2018-12	12,21
Estados Unidos de América	Tasa de variación acumulada	2018-11	11,37
Estados Unidos de América	Tasa de variación acumulada	2018-10	10,75
Estados Unidos de América	Tasa de variación acumulada	2018-09	9,18
Estados Unidos de América	Tasa de variación acumulada	2018-08	11,50
Estados Unidos de América	Tasa de variación acumulada	2018-07	11,94
Estados Unidos de América	Tasa de variación acumulada	2018-06	11,65
Estados Unidos de América	Tasa de variación acumulada	2018-05	10,89
Estados Unidos de América	Tasa de variación acumulada	2018-04	10,15
Estados Unidos de América	Tasa de variación acumulada	2018-03	11,88
Estados Unidos de América	Tasa de variación acumulada	2018-02	16,08
Estados Unidos de América	Tasa de variación acumulada	2018-01	20,52
Estados Unidos de América	Tasa de variación acumulada	2017-12	31,75
Estados Unidos de América	Tasa de variación acumulada	2017-11	33,05
Estados Unidos de América	Tasa de variación acumulada	2017-10	33,32
Estados Unidos de América	Tasa de variación acumulada	2017-09	33,56
Estados Unidos de América	Tasa de variación acumulada	2017-08	32,37
Estados Unidos de América	Tasa de variación acumulada	2017-07	33,59
Estados Unidos de América	Tasa de variación acumulada	2017-06	39,31
Estados Unidos de América	Tasa de variación acumulada	2017-05	44,42
Estados Unidos de América	Tasa de variación acumulada	2017-04	44,37
Estados Unidos de América	Tasa de variación acumulada	2017-03	37,47
Estados Unidos de América	Tasa de variación acumulada	2017-02	30,37
Estados Unidos de América	Tasa de variación acumulada	2017-01	34,93
Estados Unidos de América	Tasa de variación acumulada	2016-12	7,85
Estados Unidos de América	Tasa de variación acumulada	2016-11	6,91
Estados Unidos de América	Tasa de variación acumulada	2016-10	6,49
Estados Unidos de América	Tasa de variación acumulada	2016-09	7,60
Estados Unidos de América	Tasa de variación acumulada	2016-08	7,27
Estados Unidos de América	Tasa de variación acumulada	2016-07	7,34
Estados Unidos de América	Tasa de variación acumulada	2016-06	8,23
Estados Unidos de América	Tasa de variación acumulada	2016-05	8,21
Estados Unidos de América	Tasa de variación acumulada	2016-04	6,82
Estados Unidos de América	Tasa de variación acumulada	2016-03	10,88
Estados Unidos de América	Tasa de variación acumulada	2016-02	2,94
Estados Unidos de América	Tasa de variación acumulada	2016-01	-7,84
Estados Unidos de América	Tasa de variación acumulada	2015-12	""
Estados Unidos de América	Tasa de variación acumulada	2015-11	""
Estados Unidos de América	Tasa de variación acumulada	2015-10	""
Resto América	Dato base	2020-09	50.971
Resto América	Dato base	2020-08	55.385
Resto América	Dato base	2020-07	40.822
Resto América	Dato base	2020-06	.
Resto América	Dato base	2020-05	0
Resto América	Dato base	2020-04	0
Resto América	Dato base	2020-03	136.581
Resto América	Dato base	2020-02	237.255
Resto América	Dato base	2020-01	305.853
Resto América	Dato base	2019-12	236.741
Resto América	Dato base	2019-11	226.741
Resto América	Dato base	2019-10	396.760
Resto América	Dato base	2019-09	424.042
Resto América	Dato base	2019-08	345.582
Resto América	Dato base	2019-07	372.981
Resto América	Dato base	2019-06	370.334
Resto América	Dato base	2019-05	374.846
Resto América	Dato base	2019-04	293.192
Resto América	Dato base	2019-03	264.724
Resto América	Dato base	2019-02	206.506
Resto América	Dato base	2019-01	254.827
Resto América	Dato base	2018-12	203.512
Resto América	Dato base	2018-11	224.808
Resto América	Dato base	2018-10	337.283
Resto América	Dato base	2018-09	364.492
Resto América	Dato base	2018-08	302.021
Resto América	Dato base	2018-07	358.525
Resto América	Dato base	2018-06	325.072
Resto América	Dato base	2018-05	355.114
Resto América	Dato base	2018-04	264.344
Resto América	Dato base	2018-03	228.902
Resto América	Dato base	2018-02	205.773
Resto América	Dato base	2018-01	241.214
Resto América	Dato base	2017-12	191.506
Resto América	Dato base	2017-11	209.297
Resto América	Dato base	2017-10	312.762
Resto América	Dato base	2017-09	392.102
Resto América	Dato base	2017-08	302.425
Resto América	Dato base	2017-07	341.512
Resto América	Dato base	2017-06	323.603
Resto América	Dato base	2017-05	324.824
Resto América	Dato base	2017-04	253.405
Resto América	Dato base	2017-03	167.000
Resto América	Dato base	2017-02	168.197
Resto América	Dato base	2017-01	241.898
Resto América	Dato base	2016-12	169.939
Resto América	Dato base	2016-11	166.440
Resto América	Dato base	2016-10	269.827
Resto América	Dato base	2016-09	297.858
Resto América	Dato base	2016-08	264.711
Resto América	Dato base	2016-07	301.709
Resto América	Dato base	2016-06	251.558
Resto América	Dato base	2016-05	251.011
Resto América	Dato base	2016-04	189.682
Resto América	Dato base	2016-03	133.185
Resto América	Dato base	2016-02	118.069
Resto América	Dato base	2016-01	158.072
Resto América	Dato base	2015-12	126.957
Resto América	Dato base	2015-11	122.747
Resto América	Dato base	2015-10	217.625
Resto América	Tasa de variación anual	2020-09	-87,98
Resto América	Tasa de variación anual	2020-08	-83,97
Resto América	Tasa de variación anual	2020-07	-89,06
Resto América	Tasa de variación anual	2020-06	.
Resto América	Tasa de variación anual	2020-05	-100,00
Resto América	Tasa de variación anual	2020-04	-100,00
Resto América	Tasa de variación anual	2020-03	-48,41
Resto América	Tasa de variación anual	2020-02	14,89
Resto América	Tasa de variación anual	2020-01	20,02
Resto América	Tasa de variación anual	2019-12	16,33
Resto América	Tasa de variación anual	2019-11	0,86
Resto América	Tasa de variación anual	2019-10	17,63
Resto América	Tasa de variación anual	2019-09	16,34
Resto América	Tasa de variación anual	2019-08	14,42
Resto América	Tasa de variación anual	2019-07	4,03
Resto América	Tasa de variación anual	2019-06	13,92
Resto América	Tasa de variación anual	2019-05	5,56
Resto América	Tasa de variación anual	2019-04	10,91
Resto América	Tasa de variación anual	2019-03	15,65
Resto América	Tasa de variación anual	2019-02	0,36
Resto América	Tasa de variación anual	2019-01	5,64
Resto América	Tasa de variación anual	2018-12	6,27
Resto América	Tasa de variación anual	2018-11	7,41
Resto América	Tasa de variación anual	2018-10	7,84
Resto América	Tasa de variación anual	2018-09	-7,04
Resto América	Tasa de variación anual	2018-08	-0,13
Resto América	Tasa de variación anual	2018-07	4,98
Resto América	Tasa de variación anual	2018-06	0,45
Resto América	Tasa de variación anual	2018-05	9,33
Resto América	Tasa de variación anual	2018-04	4,32
Resto América	Tasa de variación anual	2018-03	37,07
Resto América	Tasa de variación anual	2018-02	22,34
Resto América	Tasa de variación anual	2018-01	-0,28
Resto América	Tasa de variación anual	2017-12	12,69
Resto América	Tasa de variación anual	2017-11	25,75
Resto América	Tasa de variación anual	2017-10	15,91
Resto América	Tasa de variación anual	2017-09	31,64
Resto América	Tasa de variación anual	2017-08	14,25
Resto América	Tasa de variación anual	2017-07	13,19
Resto América	Tasa de variación anual	2017-06	28,64
Resto América	Tasa de variación anual	2017-05	29,41
Resto América	Tasa de variación anual	2017-04	33,59
Resto América	Tasa de variación anual	2017-03	25,39
Resto América	Tasa de variación anual	2017-02	42,46
Resto América	Tasa de variación anual	2017-01	53,03
Resto América	Tasa de variación anual	2016-12	33,85
Resto América	Tasa de variación anual	2016-11	35,60
Resto América	Tasa de variación anual	2016-10	23,99
Resto América	Tasa de variación anual	2016-09	42,07
Resto América	Tasa de variación anual	2016-08	24,81
Resto América	Tasa de variación anual	2016-07	18,82
Resto América	Tasa de variación anual	2016-06	35,41
Resto América	Tasa de variación anual	2016-05	35,27
Resto América	Tasa de variación anual	2016-04	19,70
Resto América	Tasa de variación anual	2016-03	-5,39
Resto América	Tasa de variación anual	2016-02	18,53
Resto América	Tasa de variación anual	2016-01	-0,03
Resto América	Tasa de variación anual	2015-12	23,50
Resto América	Tasa de variación anual	2015-11	13,39
Resto América	Tasa de variación anual	2015-10	32,45
Resto América	Acumulado en lo que va de año	2020-09	840.949
Resto América	Acumulado en lo que va de año	2020-08	789.977
Resto América	Acumulado en lo que va de año	2020-07	734.592
Resto América	Acumulado en lo que va de año	2020-06	.
Resto América	Acumulado en lo que va de año	2020-05	679.689
Resto América	Acumulado en lo que va de año	2020-04	679.689
Resto América	Acumulado en lo que va de año	2020-03	679.689
Resto América	Acumulado en lo que va de año	2020-02	543.108
Resto América	Acumulado en lo que va de año	2020-01	305.853
Resto América	Acumulado en lo que va de año	2019-12	3.767.277
Resto América	Acumulado en lo que va de año	2019-11	3.530.536
Resto América	Acumulado en lo que va de año	2019-10	3.303.795
Resto América	Acumulado en lo que va de año	2019-09	2.907.035
Resto América	Acumulado en lo que va de año	2019-08	2.482.993
Resto América	Acumulado en lo que va de año	2019-07	2.137.411
Resto América	Acumulado en lo que va de año	2019-06	1.764.430
Resto América	Acumulado en lo que va de año	2019-05	1.394.096
Resto América	Acumulado en lo que va de año	2019-04	1.019.250
Resto América	Acumulado en lo que va de año	2019-03	726.058
Resto América	Acumulado en lo que va de año	2019-02	461.334
Resto América	Acumulado en lo que va de año	2019-01	254.827
Resto América	Acumulado en lo que va de año	2018-12	3.411.059
Resto América	Acumulado en lo que va de año	2018-11	3.207.547
Resto América	Acumulado en lo que va de año	2018-10	2.982.739
Resto América	Acumulado en lo que va de año	2018-09	2.645.456
