
DATE																	OCUPADOS	
   1.1. SECTOR TURISTICO														 88,2	
   1.1.1. (55) Servicios de alojamiento													 24,8	
   1.1.2. (56) Servicios de comidas y bebidas												 32,9	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 15,9	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 14,6	
2008_anual		
   1.1. SECTOR TURISTICO														112,9	
   1.1.1. (55) Servicios de alojamiento													 34,2	
   1.1.2. (56) Servicios de comidas y bebidas												 38,4	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 20,1	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 20,2	
2008T4		
   1.1. SECTOR TURISTICO														112,0	
   1.1.1. (55) Servicios de alojamiento													 31,2	
   1.1.2. (56) Servicios de comidas y bebidas												 40,3	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 20,4	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 20,1	
2008T3		
   1.1. SECTOR TURISTICO														137,2	
   1.1.1. (55) Servicios de alojamiento													 45,7	
   1.1.2. (56) Servicios de comidas y bebidas												 45,2	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 22,9	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 23,3	
2008T2		
   1.1. SECTOR TURISTICO														120,8	
   1.1.1. (55) Servicios de alojamiento													 39,0	
   1.1.2. (56) Servicios de comidas y bebidas												 41,8	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 19,9	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 20,0	
2008T1		
   1.1. SECTOR TURISTICO														 81,7	
   1.1.1. (55) Servicios de alojamiento													 21,1	
   1.1.2. (56) Servicios de comidas y bebidas												 26,2	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 17,0	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 17,4	
